number,state,validation_accuracy,duration_seconds,best_epoch,best_validation_loss,parameter_count,base_channels,batch_size,depth,dropout,learning_rate,optimizer,weight_decay
0,COMPLETE,0.9074733096085409,26.820322,4,0.2153396797880159,23426,16,32,3,0.4,0.0010253509690168502,Adam,0.0002915443189153752
1,COMPLETE,0.505338078291815,15.974699,5,0.6858288087878788,4866,16,128,2,0.30000000000000004,0.00037419406111184985,Adam,2.8016351587162606e-05
2,COMPLETE,0.6868327402135231,13.849998,5,0.6256063255975255,24514,8,64,4,0.30000000000000004,0.0003458705214751812,Adam,0.000624513957474307
3,COMPLETE,0.9145907473309609,24.324808,5,0.22759169939361856,23426,16,64,3,0.30000000000000004,0.0015415527060141947,Adam,1.7654048052495067e-06
4,COMPLETE,0.7402135231316725,17.525903,5,0.5346711842190752,13250,12,128,3,0.1,0.0343304473310619,AdamW,2.0013420622879973e-06
5,COMPLETE,0.9501779359430605,29.41495,5,0.18002739877463236,97410,16,64,4,0.0,0.002915549705917701,Adam,1.0521761868451128e-07
6,COMPLETE,0.9252669039145908,23.398166,5,0.20822619999430783,54914,12,64,4,0.0,0.0009278723835524702,Adam,1.998634077852888e-06
7,PRUNED,0.6761565836298933,8.801506,,,,12,128,2,0.2,0.008414460701586534,AdamW,1.2637946338082864e-07
8,PRUNED,0.501779359430605,10.708467,,,,16,128,4,0.4,0.028151055958334784,SGD,4.414536876494476e-07
9,PRUNED,0.501779359430605,9.771702,,,,12,32,3,0.2,0.0003188210535930769,Adam,8.16094874308991e-07
10,PRUNED,0.501779359430605,4.534561,,,,8,64,2,0.0,0.005949893772068341,SGD,3.328316809503081e-05
11,COMPLETE,0.9217081850533808,23.484918,5,0.17814534563186754,54914,12,64,4,0.0,0.0021290314416883807,Adam,1.1267773638057734e-05
12,PRUNED,0.7402135231316725,17.549895,,,,16,64,4,0.0,0.004327573123358576,Adam,1.1402878169278234e-07
13,PRUNED,0.501779359430605,15.031676,,,,12,64,4,0.1,0.00011780579892533562,Adam,5.591187450182127e-06
14,PRUNED,0.501779359430605,6.895099,,,,8,64,4,0.1,0.0008754303536968218,SGD,3.2722003050009465e-07
15,COMPLETE,0.9359430604982206,27.849415,4,0.18307477034283703,97410,16,64,4,0.0,0.0029111102837149844,AdamW,7.279424662466224e-05
16,COMPLETE,0.9572953736654805,25.594171,3,0.18594229136497525,23426,16,32,3,0.1,0.012380975116152276,AdamW,0.00012129358286915623
17,COMPLETE,0.9501779359430605,23.218851,5,0.144664066754202,23426,16,32,3,0.1,0.012903205115423625,AdamW,0.00015346439219996878
18,COMPLETE,0.9430604982206405,24.561252,3,0.1628721483661611,23426,16,32,3,0.2,0.018445537108293716,AdamW,8.042169862914426e-06
19,COMPLETE,0.9217081850533808,17.654302,3,0.1798405243726812,4866,16,32,2,0.1,0.012277800644258466,AdamW,0.0006269310639732156
20,PRUNED,0.501779359430605,9.669151,,,,16,32,3,0.2,0.04910049424513375,AdamW,0.000148211727008978
21,PRUNED,0.8291814946619217,15.141702,,,,16,32,3,0.1,0.011575350787629944,AdamW,0.00013422483648239359
22,PRUNED,0.9074733096085409,18.753136,,,,16,32,3,0.1,0.004903723176660021,AdamW,3.392513394576353e-05
23,PRUNED,0.501779359430605,9.35142,,,,16,32,3,0.0,0.022942498050507704,AdamW,0.0009803203166886057
24,PRUNED,0.8825622775800712,10.84727,,,,16,32,2,0.1,0.01319697511525456,AdamW,0.00022627480383890928
25,PRUNED,0.505338078291815,5.234196,,,,8,32,3,0.0,0.006485525264100644,SGD,8.691847887180775e-05
26,PRUNED,0.7295373665480427,9.347301,,,,16,32,3,0.1,0.0023263266293758636,AdamW,1.4154911280590032e-05
27,PRUNED,0.8398576512455516,11.559561,,,,16,32,2,0.2,0.008941846862767338,AdamW,0.00035789798932291334
28,PRUNED,0.501779359430605,10.510862,,,,16,128,4,0.1,0.0035495143816555467,SGD,3.782675242035058e-06
29,COMPLETE,0.9430604982206405,24.596977,4,0.13842715985834386,23426,16,32,3,0.0,0.01792212557590364,AdamW,5.7673675929909613e-05
30,PRUNED,0.6298932384341637,5.616602,,,,8,32,3,0.2,0.0013401835663865403,Adam,1.8662215574402156e-05
31,COMPLETE,0.9537366548042705,23.046165,5,0.14040619744736954,23426,16,32,3,0.2,0.01895304027017873,AdamW,5.677235641604708e-06
32,PRUNED,0.697508896797153,8.849401,,,,16,32,3,0.30000000000000004,0.03217182743678014,AdamW,0.00030137492783989414
33,COMPLETE,0.9501779359430605,23.190555,3,0.16642708477176382,23426,16,32,3,0.2,0.014952171971692654,AdamW,7.6051678224191e-07
34,PRUNED,0.8718861209964412,12.679941,,,,16,32,3,0.30000000000000004,0.04697792405408964,AdamW,2.942457191543629e-07
35,PRUNED,0.6405693950177936,6.542908,,,,16,128,2,0.4,0.008605321978121824,Adam,3.882549001674053e-06
36,PRUNED,0.5160142348754448,9.347586,,,,16,64,3,0.1,0.0005821985523702356,AdamW,4.737855636611435e-05
37,PRUNED,0.501779359430605,12.312125,,,,16,32,4,0.2,0.020296397962456483,Adam,0.00011931324522016445
38,PRUNED,0.7259786476868327,9.891731,,,,16,64,3,0.1,0.006688141583524637,AdamW,1.3848599065032446e-06
39,PRUNED,0.498220640569395,6.043529,,,,8,128,4,0.0,0.02690114099402617,Adam,1.6655566668294647e-07
40,COMPLETE,0.9252669039145908,15.40233,3,0.22729448724896034,2786,12,32,2,0.30000000000000004,0.008911053084393552,AdamW,2.176855876097678e-05
41,COMPLETE,0.9217081850533808,23.747472,4,0.3266714989502659,23426,16,32,3,0.2,0.01562986014663225,AdamW,7.333858359540725e-07
42,COMPLETE,0.9644128113879004,23.699999,5,0.11438820338758285,23426,16,32,3,0.2,0.011812093209924242,AdamW,9.394678769587759e-07
43,PRUNED,0.8078291814946619,9.459203,,,,16,32,3,0.30000000000000004,0.01037312704550251,AdamW,1.4303586175398755e-06
44,PRUNED,0.9039145907473309,14.217628,,,,16,32,3,0.2,0.034494015293942,AdamW,1.9665664641648308e-07
45,PRUNED,0.7402135231316725,9.006951,,,,16,64,3,0.2,0.006045250493955576,Adam,4.164491178132314e-07
46,PRUNED,0.501779359430605,7.587807,,,,12,128,3,0.1,0.0041075260831973295,SGD,2.9746111254525476e-06
47,PRUNED,0.498220640569395,11.580659,,,,16,64,4,0.0,0.02421170155917225,AdamW,8.87793325960851e-06
48,PRUNED,0.501779359430605,9.88859,,,,16,32,3,0.2,0.00014718741068454446,Adam,1.0526201262137704e-07
49,PRUNED,0.501779359430605,5.29556,,,,8,64,4,0.30000000000000004,0.03820621275689315,AdamW,9.310503816117075e-07
50,PRUNED,0.6192170818505338,6.429575,,,,12,32,2,0.1,0.0015862583889652679,SGD,0.0004730202461960785
51,PRUNED,0.8113879003558719,10.288634,,,,16,32,3,0.2,0.014135422956460555,AdamW,2.1506972462343134e-06
52,COMPLETE,0.9430604982206405,21.902365,3,0.17176286478483804,23426,16,32,3,0.2,0.016046450604373458,AdamW,6.967403255160544e-07
